age,job,marital,education,balance,housing,loan,deposit
50,blue-collar,married,primary,0,no,no,no
47,technician,married,secondary,599,yes,no,no
30,management,single,tertiary,-218,yes,no,no
32,technician,single,tertiary,1012,no,no,no
36,technician,married,secondary,300,no,no,no
46,technician,married,tertiary,217,yes,no,no
45,management,divorced,tertiary,2096,no,no,no
37,technician,single,secondary,0,no,no,no
58,housemaid,married,primary,5278,yes,no,no
59,management,married,tertiary,1831,no,no,no
28,management,married,tertiary,1480,yes,no,no
48,management,married,tertiary,7289,yes,no,no
55,blue-collar,married,unknown,1665,no,no,no
37,blue-collar,single,primary,851,yes,no,no
41,management,married,tertiary,2885,no,no,no
35,blue-collar,married,secondary,137,no,yes,no
34,blue-collar,single,secondary,1239,yes,no,no
43,management,single,tertiary,146,no,no,no
59,technician,married,secondary,1,no,no,yes
50,blue-collar,divorced,primary,-10,no,yes,no
37,technician,married,secondary,480,no,no,yes
35,technician,married,secondary,2789,yes,no,no
50,technician,single,secondary,3897,no,no,no
36,technician,divorced,secondary,487,no,yes,no
41,admin.,married,secondary,5110,yes,no,no
28,management,married,tertiary,318,yes,no,no
42,technician,single,tertiary,-411,yes,no,no
60,retired,married,secondary,4820,no,no,no
28,management,single,tertiary,4937,yes,no,no
48,entrepreneur,married,secondary,725,no,yes,no
51,entrepreneur,married,tertiary,5403,no,no,no
32,technician,married,tertiary,4089,no,no,no
35,technician,married,tertiary,188,no,no,no
37,technician,married,unknown,189,no,no,yes
38,blue-collar,divorced,secondary,2998,yes,no,no
77,retired,married,secondary,610,no,no,no
32,management,single,unknown,787,no,no,no
43,technician,divorced,secondary,167,no,no,no
36,management,single,tertiary,243,yes,no,no
29,management,married,tertiary,877,no,no,no
32,admin.,single,secondary,2817,yes,no,no
41,management,divorced,tertiary,4567,yes,yes,no
26,services,single,secondary,127,yes,yes,no
34,blue-collar,married,primary,176,no,no,no
57,retired,married,tertiary,0,yes,yes,yes
36,services,single,secondary,1482,yes,no,no
42,blue-collar,married,secondary,3052,yes,no,no
35,technician,divorced,secondary,56,no,no,no
52,entrepreneur,divorced,primary,278,yes,no,no
36,management,single,tertiary,3875,yes,no,no
46,technician,married,secondary,-337,yes,no,no
60,management,divorced,tertiary,366,no,no,yes
57,housemaid,married,primary,501,yes,yes,no
48,management,married,tertiary,998,yes,no,no
59,self-employed,married,primary,0,yes,no,no
39,management,married,tertiary,246,no,no,no
44,blue-collar,married,secondary,-182,yes,yes,no
27,management,single,tertiary,446,no,no,no
59,retired,married,secondary,1173,no,no,no
36,technician,divorced,secondary,5957,yes,no,no
44,admin.,married,secondary,205,no,no,yes
50,admin.,married,secondary,0,no,no,no
41,management,divorced,tertiary,369,yes,no,no
47,admin.,married,secondary,1934,no,yes,no
32,technician,single,tertiary,259,no,no,no
38,blue-collar,married,secondary,284,yes,yes,no
55,blue-collar,married,unknown,23,no,no,no
38,management,single,tertiary,1373,no,no,no
31,management,single,tertiary,62,yes,no,no
38,blue-collar,divorced,secondary,157,no,no,no
29,unemployed,single,tertiary,991,no,no,no
55,services,married,secondary,186,yes,yes,no
35,unemployed,married,secondary,977,yes,no,no
40,self-employed,single,tertiary,2893,no,no,no
34,blue-collar,married,secondary,1897,yes,yes,no
32,technician,single,tertiary,5514,no,no,yes
33,blue-collar,married,secondary,889,yes,no,no
33,management,married,tertiary,273,yes,no,yes
37,admin.,married,secondary,1193,no,no,no
58,management,married,tertiary,2729,no,no,no
36,admin.,single,secondary,0,no,no,no
42,blue-collar,married,secondary,230,yes,no,no
34,technician,single,secondary,2729,yes,no,no
35,management,married,tertiary,317,yes,no,no
60,housemaid,married,primary,517,no,no,no
50,management,married,tertiary,-470,yes,no,no
28,self-employed,single,tertiary,4579,no,no,yes
27,blue-collar,divorced,secondary,1,yes,no,no
37,management,married,tertiary,5106,no,no,yes
31,technician,married,tertiary,636,yes,no,yes
34,services,married,secondary,1076,no,no,yes
38,management,married,tertiary,126,yes,no,no
32,self-employed,married,secondary,-33,yes,no,no
37,technician,married,secondary,430,no,no,no
33,admin.,married,secondary,-6,yes,no,no
71,technician,married,tertiary,383,no,no,no
27,technician,married,secondary,130,yes,no,no
38,blue-collar,married,primary,2569,no,no,no
34,technician,single,secondary,201,no,no,no
54,retired,divorced,tertiary,0,no,no,yes
30,blue-collar,married,secondary,6,yes,no,no
35,entrepreneur,single,secondary,475,no,yes,no
33,blue-collar,single,secondary,706,yes,no,no
36,management,married,secondary,1825,yes,no,no
59,self-employed,married,tertiary,185,no,no,no
72,blue-collar,married,primary,4415,no,no,no
64,management,married,tertiary,679,no,no,no
53,technician,divorced,secondary,320,no,no,no
35,management,single,tertiary,2988,yes,no,no
58,self-employed,married,secondary,1407,yes,no,no
40,technician,married,secondary,1270,no,no,no
41,services,divorced,secondary,654,yes,no,no
48,retired,married,primary,5173,yes,no,no
44,entrepreneur,married,tertiary,3463,yes,yes,no
39,blue-collar,married,unknown,0,no,no,no
61,management,married,tertiary,6016,no,no,yes
36,entrepreneur,married,primary,177,yes,no,no
28,management,married,tertiary,3694,no,yes,no
58,retired,single,secondary,1640,no,yes,no
60,admin.,divorced,secondary,174,yes,no,no
66,admin.,single,secondary,10177,no,no,no
36,management,single,tertiary,490,no,no,yes
49,self-employed,married,secondary,2576,yes,no,no
40,services,married,secondary,0,no,no,no
23,technician,single,secondary,598,no,no,no
29,management,single,tertiary,15459,no,no,no
44,blue-collar,married,primary,271,yes,yes,no
54,unknown,married,unknown,2508,no,no,no
47,blue-collar,married,primary,320,no,no,no
33,admin.,married,tertiary,640,no,no,no
30,self-employed,married,secondary,1772,yes,no,no
27,admin.,single,secondary,15,no,yes,no
49,management,divorced,tertiary,2370,yes,yes,no
27,services,single,secondary,201,yes,no,no
51,blue-collar,married,secondary,160,yes,no,no
32,admin.,divorced,secondary,5,yes,yes,no
30,blue-collar,single,secondary,75,yes,no,no
33,admin.,married,secondary,4902,yes,no,no
27,blue-collar,single,primary,-79,yes,no,no
75,retired,divorced,secondary,1341,no,no,yes
37,services,divorced,secondary,490,yes,no,no
36,technician,single,secondary,1521,yes,no,no
37,blue-collar,married,secondary,131,yes,no,no
35,management,married,tertiary,8,yes,no,no
32,services,married,secondary,-632,yes,yes,no
32,admin.,single,secondary,116,no,yes,no
35,admin.,married,primary,189,yes,no,no
31,blue-collar,married,primary,2,yes,yes,no
28,blue-collar,single,secondary,4229,yes,yes,no
27,services,married,secondary,54,yes,no,no
22,student,single,unknown,549,no,no,no
35,blue-collar,married,primary,298,yes,no,no
69,retired,married,primary,579,no,no,no
37,entrepreneur,single,tertiary,1467,yes,yes,no
45,admin.,single,secondary,0,yes,no,no
47,management,married,tertiary,109,yes,no,no
52,management,married,tertiary,-11,yes,no,no
33,services,married,secondary,90,yes,no,no
60,blue-collar,married,primary,493,no,no,yes
33,management,divorced,secondary,1897,yes,yes,no
44,admin.,married,secondary,2403,yes,no,no
38,entrepreneur,married,secondary,868,no,no,no
54,entrepreneur,married,secondary,653,yes,no,no
32,unemployed,divorced,primary,0,no,no,no
33,technician,married,secondary,0,yes,yes,no
55,services,divorced,secondary,218,yes,no,no
51,blue-collar,married,primary,5050,no,yes,no
48,blue-collar,married,secondary,741,yes,no,no
37,services,single,secondary,1050,yes,no,no
33,services,single,secondary,-56,no,yes,no
30,blue-collar,married,primary,1,yes,yes,no
43,blue-collar,married,primary,-98,yes,yes,no
49,technician,married,secondary,4667,yes,no,no
54,unemployed,married,primary,541,yes,no,no
31,unemployed,married,tertiary,7744,no,no,no
54,unknown,married,unknown,895,no,no,yes
36,unemployed,married,secondary,-129,yes,no,no
30,admin.,married,secondary,0,no,no,no
27,technician,single,secondary,158,no,no,yes
30,admin.,married,secondary,122,yes,no,no
30,blue-collar,married,secondary,673,yes,no,no
35,technician,divorced,secondary,0,no,no,no
33,services,divorced,secondary,411,yes,no,no
43,blue-collar,divorced,primary,-97,yes,yes,no
41,blue-collar,married,secondary,-217,yes,no,no
41,management,divorced,tertiary,5037,no,no,yes
46,admin.,divorced,secondary,2232,no,no,yes
54,blue-collar,married,secondary,-932,yes,no,no
32,management,married,tertiary,913,yes,no,no
30,technician,single,tertiary,236,yes,no,no
40,entrepreneur,married,primary,0,yes,no,no
30,blue-collar,married,primary,2581,no,no,no
27,admin.,married,secondary,639,no,yes,no
41,blue-collar,married,primary,849,yes,no,no
54,services,married,secondary,386,yes,no,no
32,management,single,tertiary,1218,yes,no,no
31,management,married,tertiary,2603,yes,no,yes
42,blue-collar,married,secondary,-921,yes,no,no
48,admin.,married,primary,607,no,no,no
34,blue-collar,married,primary,79,yes,no,no
55,technician,divorced,secondary,61,yes,yes,no
49,technician,married,secondary,1091,no,no,no
46,management,divorced,tertiary,743,no,no,no
47,entrepreneur,married,unknown,209,yes,no,no
24,management,single,tertiary,172,no,no,no
58,entrepreneur,married,secondary,2,no,no,no
32,management,single,tertiary,41,no,no,yes
25,student,single,secondary,1116,yes,no,no
49,blue-collar,married,secondary,-55,no,no,no
59,retired,divorced,secondary,5845,no,no,yes
30,management,single,tertiary,329,yes,no,no
46,blue-collar,married,secondary,494,yes,no,no
42,management,married,unknown,1519,no,no,yes
37,entrepreneur,married,tertiary,2685,no,no,no
44,blue-collar,married,primary,-14,yes,yes,no
49,services,married,secondary,5673,no,yes,no
41,blue-collar,married,secondary,1459,no,no,no
48,technician,married,tertiary,0,no,no,no
31,management,married,secondary,625,yes,no,no
37,student,married,unknown,0,no,no,no
51,services,married,secondary,867,yes,no,no
80,retired,married,secondary,8304,no,no,yes
32,management,single,tertiary,151,yes,no,no
48,services,married,primary,-583,yes,no,no
49,blue-collar,married,tertiary,1784,no,no,no
30,management,married,tertiary,3134,yes,no,no
27,self-employed,single,secondary,49,yes,no,no
34,technician,married,secondary,-346,no,no,no
49,management,married,secondary,1623,yes,no,yes
48,management,married,tertiary,60,no,no,no
40,services,married,secondary,17,no,no,no
38,blue-collar,married,secondary,2008,yes,no,no
46,blue-collar,married,primary,91,yes,no,no
41,entrepreneur,married,tertiary,171,yes,no,no
28,management,single,tertiary,1027,yes,no,no
51,services,married,unknown,5801,yes,no,no
33,blue-collar,divorced,primary,142,yes,no,no
26,management,single,tertiary,205,no,no,no
34,admin.,single,secondary,852,no,no,no
27,blue-collar,married,secondary,-584,yes,no,no
42,self-employed,married,secondary,97,no,no,no
45,admin.,married,secondary,204,yes,no,yes
31,technician,single,secondary,628,yes,no,no
32,management,single,tertiary,311,no,no,yes
39,blue-collar,married,primary,1564,no,no,no
26,blue-collar,single,secondary,856,yes,yes,no
40,management,single,tertiary,1509,no,no,no
52,services,married,secondary,-888,no,no,no
40,technician,single,tertiary,226,no,no,no
48,technician,married,secondary,127,no,yes,no
31,services,married,secondary,413,yes,no,no
27,admin.,married,secondary,710,yes,yes,yes
47,technician,married,secondary,1233,yes,no,yes
28,management,single,secondary,171,no,no,yes
40,management,divorced,tertiary,69,yes,no,no
34,admin.,married,secondary,1499,yes,no,no
29,self-employed,married,tertiary,751,yes,no,no
36,management,married,tertiary,61,no,yes,no
83,retired,married,primary,425,no,no,yes
55,services,divorced,primary,2923,yes,no,no
43,management,divorced,tertiary,99,no,no,no
23,student,single,secondary,1021,no,no,no
44,technician,married,tertiary,1146,no,no,no
58,blue-collar,married,primary,781,yes,no,no
29,admin.,single,secondary,1448,no,no,no
30,management,single,tertiary,604,no,yes,no
29,admin.,single,secondary,-194,yes,no,no
41,technician,married,secondary,0,no,no,no
35,housemaid,married,primary,0,yes,no,no
31,technician,single,secondary,1014,yes,no,no
27,admin.,single,tertiary,73,no,no,no
47,services,married,secondary,2597,yes,no,no
53,self-employed,married,tertiary,2627,yes,yes,no
34,management,married,tertiary,1906,yes,no,no
34,blue-collar,married,primary,-319,yes,yes,no
36,management,married,tertiary,-296,yes,no,no
40,technician,married,secondary,169,yes,no,no
37,self-employed,single,tertiary,556,no,no,no
65,retired,divorced,unknown,300,no,no,no
53,technician,divorced,secondary,751,yes,no,no
28,technician,single,secondary,126,no,no,no
33,technician,divorced,tertiary,-386,yes,no,no
56,blue-collar,married,primary,379,no,no,no
45,self-employed,married,secondary,706,no,no,no
39,technician,married,secondary,9121,no,no,no
28,management,single,tertiary,1466,yes,no,no
36,blue-collar,married,primary,0,yes,no,no
41,blue-collar,married,primary,951,yes,no,no
46,admin.,married,secondary,368,no,no,yes
41,blue-collar,married,secondary,121,yes,no,no
59,services,married,secondary,204,no,no,no
24,admin.,married,secondary,299,yes,no,no
34,management,married,tertiary,4170,yes,no,no
40,blue-collar,married,primary,-335,yes,no,no
42,admin.,married,secondary,3165,yes,no,no
50,services,married,secondary,254,yes,no,no
25,management,single,tertiary,553,yes,no,no
51,services,divorced,secondary,518,yes,no,no
50,management,married,tertiary,85,no,yes,no
37,blue-collar,married,unknown,603,yes,no,no
21,services,single,secondary,361,no,no,no
52,blue-collar,married,secondary,-98,yes,no,no
55,retired,married,primary,4424,no,no,no
26,technician,single,secondary,2610,yes,yes,no
38,technician,married,tertiary,3234,no,no,yes
32,blue-collar,married,secondary,687,yes,no,no
31,blue-collar,married,secondary,631,yes,no,no
34,technician,single,secondary,341,no,yes,no
33,technician,single,tertiary,316,no,no,no
35,technician,married,secondary,2,no,no,no
44,management,married,unknown,415,yes,no,no
48,management,divorced,tertiary,507,yes,no,no
29,blue-collar,married,secondary,912,yes,no,no
50,management,married,tertiary,0,no,no,no
37,blue-collar,married,primary,37,yes,no,no
44,admin.,single,secondary,2524,no,no,no
36,unemployed,single,tertiary,9019,yes,no,no
49,blue-collar,divorced,unknown,39,yes,no,no
31,blue-collar,married,secondary,0,yes,no,no
49,technician,divorced,secondary,265,yes,no,no
35,blue-collar,single,secondary,0,yes,no,yes
57,admin.,divorced,unknown,4012,no,no,no
42,blue-collar,married,primary,1520,yes,no,no
36,blue-collar,divorced,secondary,-140,yes,no,no
75,retired,divorced,primary,852,no,no,no
38,blue-collar,single,secondary,578,yes,no,no
40,blue-collar,married,primary,0,yes,no,no
38,services,single,secondary,2253,yes,no,yes
34,management,single,tertiary,1171,yes,no,no
29,technician,single,tertiary,452,yes,no,no
28,admin.,married,secondary,-97,yes,no,no
79,retired,married,secondary,4738,no,no,no
51,admin.,divorced,secondary,467,yes,no,no
32,student,single,tertiary,0,no,no,no
36,management,married,tertiary,495,no,no,yes
38,entrepreneur,married,secondary,157,no,yes,no
49,self-employed,married,secondary,358,yes,yes,no
42,services,married,secondary,292,yes,no,no
43,blue-collar,married,primary,7343,yes,no,no
34,blue-collar,married,secondary,-563,yes,no,no
59,retired,single,secondary,351,yes,no,yes
35,unknown,married,primary,365,no,no,no
33,blue-collar,single,secondary,13494,yes,no,no
34,admin.,single,secondary,846,yes,no,no
64,retired,married,secondary,1574,no,no,yes
34,entrepreneur,married,tertiary,-28,yes,no,no
77,retired,married,tertiary,0,no,no,yes
57,retired,married,primary,2927,no,yes,no
30,blue-collar,married,secondary,501,yes,yes,no
56,housemaid,divorced,primary,1238,no,no,yes
49,unknown,married,unknown,301,no,no,no
73,retired,married,primary,1388,no,no,no
39,technician,single,secondary,102,yes,no,no
57,technician,divorced,primary,13,yes,no,no
32,self-employed,married,secondary,413,yes,no,no
32,technician,single,tertiary,4665,yes,no,yes
45,admin.,married,secondary,638,yes,no,no
32,blue-collar,married,secondary,101,yes,no,no
31,management,married,tertiary,1224,yes,yes,yes
49,self-employed,married,secondary,1103,no,no,no
29,services,married,secondary,3748,no,no,no
55,technician,married,secondary,955,yes,no,no
30,admin.,married,secondary,518,yes,no,no
45,services,single,primary,1893,yes,no,yes
39,technician,married,tertiary,14,no,no,no
36,admin.,married,secondary,-423,yes,yes,no
33,management,married,tertiary,3696,no,no,no
36,management,married,tertiary,2987,yes,no,yes
31,technician,single,secondary,433,no,no,no
36,technician,married,unknown,756,no,no,no
38,technician,single,tertiary,0,yes,no,no
33,unknown,married,secondary,2727,no,no,no
40,technician,married,secondary,93,yes,no,no
31,blue-collar,married,secondary,1766,no,yes,yes
39,services,married,secondary,124,yes,no,no
33,admin.,married,tertiary,69,no,yes,no
53,services,divorced,secondary,0,no,no,yes
38,management,married,tertiary,0,yes,no,no
59,technician,married,secondary,259,no,no,yes
55,blue-collar,married,primary,4103,no,no,no
38,technician,single,tertiary,744,yes,no,no
48,services,married,secondary,116,yes,no,no
53,blue-collar,married,secondary,70,yes,no,no
44,admin.,divorced,secondary,432,no,no,no
57,management,married,tertiary,1172,no,no,no
29,blue-collar,single,secondary,9,yes,no,no
31,services,married,secondary,428,yes,no,no
35,technician,single,tertiary,7546,yes,no,no
31,blue-collar,married,primary,620,no,no,no
35,self-employed,married,tertiary,8647,no,no,no
40,management,single,secondary,192,yes,no,no
39,blue-collar,married,secondary,0,yes,no,no
43,technician,single,tertiary,27733,yes,no,no
44,entrepreneur,married,primary,276,yes,yes,no
29,technician,single,secondary,113,no,no,yes
40,technician,married,secondary,782,yes,no,no
33,entrepreneur,married,primary,82,yes,no,no
46,management,married,tertiary,1008,no,no,no
27,unknown,single,tertiary,6421,no,no,no
26,admin.,single,secondary,443,no,no,no
41,technician,married,secondary,351,yes,no,no
34,technician,married,tertiary,5060,yes,no,no
39,technician,single,tertiary,-41,no,yes,no
27,services,single,secondary,-124,no,no,no
31,blue-collar,married,secondary,79,yes,yes,no
44,unemployed,single,secondary,3945,no,no,no
55,retired,married,tertiary,197,no,yes,no
51,blue-collar,divorced,primary,837,no,no,no
50,management,married,tertiary,-94,no,yes,no
30,services,married,secondary,1743,yes,no,no
46,technician,married,secondary,57,no,no,yes
49,admin.,married,secondary,635,no,no,no
56,retired,married,secondary,-113,yes,yes,no
47,admin.,divorced,secondary,225,no,no,yes
30,admin.,married,secondary,124,no,no,no
36,entrepreneur,single,secondary,475,no,no,no
40,management,married,tertiary,-7,no,yes,no
37,technician,single,secondary,375,no,no,no
42,admin.,divorced,secondary,936,no,no,yes
45,technician,married,secondary,1415,yes,no,no
34,unemployed,single,secondary,0,no,no,no
27,admin.,single,secondary,3638,no,no,no
30,blue-collar,married,secondary,-99,yes,no,no
32,technician,married,secondary,167,yes,yes,no
46,housemaid,married,primary,19,yes,no,no
29,self-employed,married,tertiary,242,yes,no,no
53,unknown,married,unknown,13,no,no,no
32,technician,married,secondary,286,no,no,no
49,unemployed,married,secondary,769,yes,no,no
35,management,married,tertiary,93,no,no,no
38,blue-collar,married,secondary,1663,yes,no,no
39,entrepreneur,married,primary,238,yes,yes,no
34,technician,single,secondary,2178,yes,no,no
42,blue-collar,married,primary,792,yes,yes,no
35,blue-collar,single,unknown,871,yes,no,no
60,admin.,married,secondary,1025,no,no,no
57,technician,divorced,secondary,63,yes,no,no
31,blue-collar,single,secondary,16,no,no,no
29,management,single,secondary,417,no,no,no
41,services,married,secondary,3992,yes,no,no
46,blue-collar,married,primary,2749,yes,no,no
33,technician,married,secondary,133,no,no,yes
32,blue-collar,single,secondary,1721,yes,no,no
54,management,divorced,tertiary,2171,yes,yes,yes
37,services,married,secondary,4760,yes,no,no
32,technician,single,secondary,2979,no,no,no
43,management,married,tertiary,690,yes,no,no
50,blue-collar,divorced,secondary,203,yes,no,no
34,blue-collar,married,secondary,322,yes,no,no
31,admin.,divorced,secondary,1210,no,no,no
43,self-employed,married,secondary,634,yes,no,no
49,entrepreneur,married,secondary,273,no,no,no
22,student,single,unknown,47,no,no,no
35,management,married,tertiary,1100,no,yes,no
56,admin.,married,secondary,0,yes,no,no
53,blue-collar,married,secondary,0,no,no,no
54,entrepreneur,married,tertiary,1544,no,yes,no
32,services,single,unknown,6145,yes,no,no
41,self-employed,married,secondary,28,yes,no,no
40,blue-collar,married,secondary,1012,yes,no,no
33,blue-collar,married,primary,245,yes,yes,no
33,management,single,tertiary,1998,no,no,no
34,blue-collar,married,secondary,3990,yes,no,no
36,services,married,secondary,1328,yes,no,no
34,entrepreneur,married,tertiary,412,yes,yes,no
55,management,married,primary,229,no,yes,no
28,student,single,tertiary,1562,no,no,yes
29,admin.,single,secondary,3432,yes,no,no
31,admin.,single,secondary,144,yes,no,no
52,management,married,tertiary,1339,yes,no,no
54,services,married,unknown,386,no,yes,no
43,blue-collar,married,primary,7727,yes,no,no
55,entrepreneur,married,secondary,204,no,no,no
28,blue-collar,divorced,unknown,101,yes,no,no
45,unemployed,divorced,secondary,728,yes,yes,no
45,entrepreneur,married,primary,2418,yes,no,no
51,management,married,tertiary,2934,yes,no,no
42,technician,single,secondary,0,yes,no,no
43,unknown,single,unknown,181,no,no,no
34,management,married,tertiary,176,no,no,no
36,blue-collar,married,primary,49,yes,no,no
37,blue-collar,married,secondary,2023,yes,no,no
50,blue-collar,married,secondary,372,yes,no,no
42,management,divorced,unknown,7702,no,no,yes
34,blue-collar,single,primary,464,yes,no,no
48,management,married,secondary,117,yes,no,no
47,admin.,married,secondary,104,yes,yes,no
40,management,married,tertiary,1041,yes,no,no
37,management,married,tertiary,539,no,no,no
38,blue-collar,married,primary,0,yes,no,no
29,technician,single,tertiary,406,yes,no,no
46,blue-collar,married,primary,2558,yes,no,no
26,blue-collar,married,secondary,484,yes,no,no
30,services,single,tertiary,3516,yes,no,no
42,blue-collar,married,secondary,5639,yes,no,no
42,management,single,tertiary,100,no,no,no
31,admin.,single,secondary,1306,yes,no,no
37,management,single,tertiary,815,yes,no,no
26,blue-collar,married,secondary,245,yes,no,no
54,blue-collar,married,unknown,191,no,no,no
70,retired,married,secondary,2815,no,no,no
29,self-employed,single,secondary,3672,yes,yes,no
50,services,married,secondary,1572,yes,no,no
60,unemployed,divorced,secondary,385,yes,no,no
32,technician,single,secondary,29,no,no,no
32,technician,married,secondary,84,no,yes,no
34,self-employed,single,tertiary,876,yes,no,no
48,services,single,primary,1499,yes,no,no
25,student,married,tertiary,0,yes,no,no
32,management,married,secondary,6217,yes,yes,no
32,blue-collar,married,primary,329,yes,no,no
47,admin.,divorced,secondary,162,yes,no,no
32,technician,married,unknown,14533,no,no,no
49,management,single,tertiary,151,yes,no,yes
53,services,married,secondary,-2,yes,yes,no
41,blue-collar,single,unknown,4684,no,no,no
47,management,divorced,tertiary,1149,no,yes,no
35,blue-collar,married,primary,11,yes,no,no
33,management,single,secondary,8004,no,no,no
49,blue-collar,married,primary,1019,yes,no,no
46,management,divorced,tertiary,1297,no,no,yes
29,management,divorced,tertiary,415,yes,yes,no
58,self-employed,married,primary,671,yes,no,no
40,admin.,single,secondary,2378,yes,no,no
34,management,married,tertiary,417,yes,no,no
60,retired,married,primary,71,no,no,no
43,management,married,tertiary,1188,no,no,no
50,blue-collar,married,primary,8139,yes,no,no
33,blue-collar,married,secondary,249,yes,no,no
37,blue-collar,married,primary,689,yes,no,no
55,self-employed,married,secondary,203,yes,no,no
45,blue-collar,single,primary,-183,no,yes,no
47,blue-collar,married,primary,3451,no,yes,no
58,technician,married,secondary,116,no,no,no
36,services,married,secondary,1746,yes,no,no
55,technician,married,secondary,0,yes,no,no
31,blue-collar,married,secondary,897,yes,no,no
38,technician,married,secondary,821,yes,yes,no
42,blue-collar,married,secondary,130,yes,no,no
32,management,divorced,tertiary,1,yes,no,no
39,blue-collar,married,secondary,8,no,no,no
41,technician,married,secondary,55,yes,no,no
59,blue-collar,married,primary,699,no,no,no
42,unemployed,divorced,secondary,759,no,no,no
33,blue-collar,married,secondary,687,yes,no,no
53,retired,married,secondary,4968,no,no,no
43,blue-collar,married,primary,1211,yes,no,no
39,self-employed,single,tertiary,426,no,no,yes
27,entrepreneur,single,secondary,376,yes,yes,no
39,management,married,tertiary,12,yes,no,no
27,blue-collar,single,secondary,23,no,no,no
33,admin.,married,secondary,353,yes,no,no
29,services,divorced,secondary,330,yes,no,no
33,management,divorced,tertiary,0,no,no,no
41,entrepreneur,married,secondary,353,no,no,no
38,technician,single,tertiary,2273,yes,no,no
30,management,married,tertiary,0,yes,no,no
58,unemployed,married,tertiary,744,no,no,no
37,services,single,secondary,608,no,no,no
36,admin.,divorced,secondary,356,yes,no,no
45,blue-collar,married,primary,1291,yes,no,no
23,technician,single,secondary,-306,yes,no,no
53,blue-collar,married,primary,306,no,no,yes
44,blue-collar,married,primary,-312,yes,no,no
32,technician,single,secondary,493,no,no,no
32,management,married,tertiary,71,yes,no,no
38,admin.,married,tertiary,669,yes,yes,no
47,blue-collar,married,primary,556,yes,no,no
34,services,single,secondary,84,yes,no,no
52,services,married,secondary,108,yes,no,no
45,admin.,single,secondary,-11,yes,no,no
50,blue-collar,married,primary,1164,yes,no,no
52,blue-collar,divorced,primary,-191,yes,no,yes
37,blue-collar,married,secondary,132,no,no,no
51,blue-collar,married,secondary,2237,yes,no,no
32,management,married,tertiary,4761,yes,no,no
33,blue-collar,married,secondary,-346,yes,yes,no
28,unemployed,married,secondary,655,yes,no,no
66,management,married,tertiary,1048,yes,no,no
31,services,single,secondary,0,yes,no,no
35,blue-collar,married,primary,624,yes,no,no
47,services,single,unknown,1784,no,no,yes
36,admin.,single,secondary,1281,no,no,no
32,technician,single,tertiary,569,no,yes,no
34,blue-collar,married,primary,1666,yes,no,no
40,admin.,married,secondary,168,yes,no,no
33,self-employed,married,tertiary,263,no,no,no
39,blue-collar,married,secondary,-405,yes,no,no
38,self-employed,married,secondary,279,yes,no,no
32,technician,single,secondary,0,no,no,yes
65,unknown,married,unknown,300,no,no,no
34,unemployed,single,tertiary,415,no,no,no
34,admin.,single,primary,0,yes,yes,no
42,blue-collar,single,primary,1322,yes,yes,no
31,services,married,secondary,1062,yes,yes,no
47,technician,married,secondary,302,yes,no,no
44,technician,divorced,secondary,809,yes,no,no
38,housemaid,married,secondary,-278,yes,no,no
28,management,single,tertiary,3238,yes,no,no
46,admin.,single,secondary,751,yes,no,no
51,blue-collar,divorced,primary,-28,no,yes,no
42,management,divorced,tertiary,0,no,no,no
37,technician,single,secondary,2442,no,no,yes
58,unemployed,married,tertiary,1798,yes,no,no
43,admin.,married,secondary,132,no,no,yes
36,management,single,tertiary,260,yes,no,no
34,blue-collar,married,secondary,7,yes,yes,no
31,management,single,tertiary,3283,no,no,yes
49,technician,married,unknown,323,yes,no,no
54,management,married,tertiary,2960,yes,no,no
29,unemployed,single,secondary,486,no,no,no
51,retired,divorced,secondary,343,yes,no,no
40,unemployed,divorced,secondary,507,yes,no,no
35,management,single,tertiary,5958,yes,no,yes
25,student,single,secondary,304,no,no,yes
32,blue-collar,single,secondary,118,yes,no,yes
30,self-employed,married,secondary,123,no,yes,no
38,management,married,tertiary,76,yes,no,no
46,admin.,married,secondary,70,yes,no,yes
43,unemployed,married,primary,960,yes,yes,no
32,technician,single,tertiary,2185,no,no,no
29,blue-collar,single,secondary,309,yes,no,no
56,blue-collar,married,secondary,2190,no,yes,no
57,technician,married,primary,0,no,no,no
38,admin.,married,secondary,3732,yes,no,no
51,technician,married,primary,1550,no,no,no
35,admin.,single,tertiary,62,no,yes,no
37,blue-collar,married,primary,704,no,no,no
48,management,married,secondary,4415,yes,no,yes
30,blue-collar,single,secondary,4,yes,no,no
60,retired,married,secondary,262,no,no,no
56,management,married,secondary,238,yes,no,no
45,blue-collar,married,primary,97,yes,no,no
38,technician,divorced,secondary,410,no,no,no
20,student,single,secondary,1191,no,no,no
59,retired,married,primary,-47,yes,no,no
34,technician,married,tertiary,197,no,no,yes
36,blue-collar,married,unknown,6,no,no,no
53,admin.,single,secondary,2398,yes,no,yes
51,management,married,tertiary,630,yes,no,no
58,retired,married,secondary,235,no,no,no
48,management,married,primary,1910,yes,no,no
56,management,married,tertiary,3172,yes,no,no
51,blue-collar,married,primary,872,no,no,no
35,blue-collar,married,secondary,407,yes,no,no
40,admin.,single,secondary,100,yes,no,yes
59,housemaid,married,secondary,345,no,no,no
44,management,divorced,tertiary,2058,no,yes,no
49,housemaid,married,primary,889,no,no,yes
35,admin.,married,tertiary,0,yes,no,no
